"","V2","X","V1","V3","V4"
"284","Boney_M.",5818,"Konkurs_Sopot_Festival_1979","link",11
"285","Boney_M.",5818,"Marcia_Barrett","link",22
"286","Boney_M.",5818,"other-other","external",199
"287","Boney_M.",5818,"Aruba","link",11
"288","Boney_M.",5818,"Goombay_Dance_Band","link",23
"289","Boney_M.",5818,"Ma_Baker","link",11
"290","Boney_M.",5818,"ABBA","other",19
"291","Boney_M.",5818,"other-empty","external",1200
"292","Boney_M.",5818,"Rivers_of_Babylon","link",40
"293","Boney_M.",5818,"The_Little_Drummer_Boy","link",10
"294","Boys_(zespół_muzyczny)",2352,"Disco_polo","link",16
"295","Boys_(zespół_muzyczny)",2352,"Boys","link",246
"296","Boys_(zespół_muzyczny)",2352,"Artur_Kosicki","link",33
"297","Boys_(zespół_muzyczny)",2352,"other-internal","external",41
"298","Boys_(zespół_muzyczny)",2352,"Marcin_Miller","link",508
"299","Boys_(zespół_muzyczny)",2352,"other-search","external",11365
"300","Boys_(zespół_muzyczny)",2352,"other-empty","external",1362
"301","Boys_(zespół_muzyczny)",2352,"other-external","external",45
"302","Boys_(zespół_muzyczny)",2352,"other-other","external",154
"303","Boys_(zespół_muzyczny)",2352,"Classic","link",21
"304","Brad_Pitt",1529,"Claire_Forlani","link",28
"305","Brad_Pitt",1529,"Furia_(film_2014)","link",56
"306","Brad_Pitt",1529,"other-empty","external",955
"307","Brad_Pitt",1529,"Sinitta","link",12
"308","Brad_Pitt",1529,"Demi_Moore","link",54
"309","Brad_Pitt",1529,"Christian_Bale","link",17
"310","Brad_Pitt",1529,"Zniewolony_(film_2013)","link",15
"311","Brad_Pitt",1529,"Wywiad_z_wampirem_(film)","link",18
"312","Brad_Pitt",1529,"Billy_Bob_Thornton","other",17
"313","Brad_Pitt",1529,"Pan_i_Pani_Smith_(film_2005)","link",21
"314","Brad_Pitt",1529,"Dermot_Mulroney","link",21
"315","Brad_Pitt",1529,"Lucas_Grabeel","link",15
"316","Brad_Pitt",1529,"Joe_Black","link",373
"317","Brad_Pitt",1529,"Lista_postaci_epizodycznych_serialu_Przyjaciele","link",30
"318","Brad_Pitt",1529,"Mexican","link",29
"319","Brad_Pitt",1529,"Once_Upon_a_Time_in_Hollywood","link",267
"320","Brad_Pitt",1529,"World_War_Z","link",43
"321","Brad_Pitt",1529,"Gwyneth_Paltrow","link",58
"322","Brad_Pitt",1529,"other-internal","external",132
"323","Brad_Pitt",1529,"Kidult","link",24
"324","Brad_Pitt",1529,"18_grudnia","link",54
"325","Brad_Pitt",1529,"Sprzymierzeni","link",13
"326","Brad_Pitt",1529,"Kirsten_Dunst","link",11
"327","Brad_Pitt",1529,"Tom_Cruise","link",12
"328","Brad_Pitt",1529,"Jason_Statham","link",10
"329","Brad_Pitt",1529,"Troja_(film)","link",76
"330","Brad_Pitt",1529,"Johnny_Depp","other",12
"331","Brad_Pitt",1529,"Big_Short","link",12
"332","Brad_Pitt",1529,"other-external","external",72
"333","Brad_Pitt",1529,"Siedem_(film)","link",24
"334","Brad_Pitt",1529,"other-other","external",133
"335","Brad_Pitt",1529,"Kalifornia_(film)","link",28
"336","Brad_Pitt",1529,"Angelina_Jolie","link",1096
"337","Brad_Pitt",1529,"Chris_Cornell","link",11
"338","Brad_Pitt",1529,"Jennifer_Aniston","link",1220
"339","Brad_Pitt",1529,"Ciekawy_przypadek_Benjamina_Buttona_(film)","link",26
