unique_identifier,l0,l1,l2,l3,l4,level,segment,fte,contractor,fte_cost_avg,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,driver_group,driver,year,min,mid,max
1498,Consumer,None,Planning & Performance,Quality Management,Consumer Quality Control Pool,,Core,5,0,,0.15,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,5,5,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,,,,,
191,Consumer,None,Planning & Performance,Sales Support,,3,,1,0,"47,849",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,entrev,,,,,
192,Consumer,None,Planning & Performance,Sales Support,Held Order Management,4,Support,7,0,"20,820",0.48,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,7,7,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,,,,,
193,Consumer,None,Planning & Performance,Sales Support,Sales Order Management,4,Core,12,0,"25,127",0.5,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,11,12,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,,,,,
194,Consumer,None,Planning & Performance,Sales Support,SIMs / Scratch Cards Supply Chain,4,Core,16,0,"23,992",0.53,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,15,16,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,whorev,,,,,
195,Consumer,None,Planning & Performance,Strategic & Financial Planning,,3,,1,0,"55,357",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,conrev,,,,,
196,Consumer,None,Planning & Performance,Strategic & Financial Planning,Financial Planning & Budgeting,4,Critical,9,0,"28,287",0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,9,9,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,headcount,,,,,
197,Consumer,None,Planning & Performance,Strategic & Financial Planning,Strategic Planning & Risk Management,4,Critical,4,0,"35,869",0.18,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,conrev,,,,,
198,Consumer,Customer Care,,,,1,,3,0,"28,329",,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,0.96,0.96,0.96,0.92,0.92,0.92,0.89,0.89,0.89,conrev,,,,,
199,Consumer,Customer Care,None,Billing & Collections,,3,,1,0,"51,690",,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,0.96,0.96,0.96,0.92,0.92,0.92,0.89,0.89,0.89,entrev,,,,,
200,Consumer,Customer Care,None,Billing & Collections,Billing Complaints,4,Support,6,0,"23,730",0.21,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,5,6,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,0.96,0.96,0.96,0.92,0.92,0.92,0.89,0.89,0.89,whorev,,,,,
201,Consumer,Customer Care,None,Billing & Collections,Billing Operations,4,Core,31,0,"19,352",0.25,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,24,30,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,0.96,0.96,0.96,0.92,0.92,0.92,0.89,0.89,0.89,entrev,,,,,
202,Consumer,Customer Care,None,Billing & Collections,Collections,4,Core,15,0,"22,734",0.25,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,12,15,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,0.96,0.96,0.96,0.92,0.92,0.92,0.89,0.89,0.89,headcount,,,,,
