Source_nam,time,Emission gkm,Petrol Emission,Diesel Emission
13,10,30458.20872,10395.21369,36345.22586
13,11,26665.87297,9100.911035,31819.90067
13,12,27100.03359,9249.087589,32337.97663
13,13,29080.56758,9925.032593,34701.31177
13,14,30119.63698,10279.66108,35941.21436
13,15,32038.95709,10934.71413,38231.5041
13,16,37661.73624,12853.73673,44941.06408
13,17,49394.24382,16857.97495,58941.25174
13,18,47080.30836,16068.24192,56180.0747
13,19,33031.6927,11273.52916,39416.11743
13,20,19080.41924,6512.038746,22768.31685
13,21,12735.9807,4346.717896,15197.61386
13,22,9567.350479,3265.282394,11416.54512
13,23,7191.268042,2454.33895,8581.209211
13,24,4621.836528,1577.406564,5515.153371
14,1,252.4520546,48.64582526,186.9527946
14,2,130.0507013,25.05990176,96.30875093
14,3,123.5092712,23.79941187,91.46450978
14,4,148.1663373,28.55066386,109.724244
14,5,239.15704,46.08396472,177.1072018
14,6,706.6188084,136.1607261,523.2849508
14,7,2400.401067,462.5412576,1777.611548
14,8,4843.364186,933.2839387,3586.742328
14,9,4188.401052,807.076916,3101.710869
14,10,3061.943224,590.0160141,2267.515088
14,11,2680.702264,516.5534266,1985.187962
14,12,2724.348138,524.9636953,2017.509815
14,13,2923.449887,563.3292728,2164.954162
14,14,3027.906834,583.457429,2242.309517
14,15,3220.854793,620.6372124,2385.196689
14,16,3786.108997,729.5579231,2803.794403
14,17,4965.570088,956.8321999,3677.24163
14,18,4732.951714,912.0081925,3504.976623
14,19,3320.653836,639.8678216,2459.102643
14,20,1918.141705,369.6130987,1420.475475
14,21,1280.339568,246.7128857,948.1525538
14,22,961.7993047,185.3323039,712.2582867
14,23,722.9333365,139.3044268,535.3666374
14,24,464.6301156,89.53112085,344.0807749
15,1,470.6113601,65.45352946,298.0851363
15,2,242.4354894,33.71839227,153.5585879
15,3,230.2412084,32.02238831,145.8347329
15,4,276.2059577,38.4152537,174.9487954
15,5,445.8273079,62.00651601,282.3869229
15,6,1317.251464,183.2058569,834.3467995
15,7,4474.734866,622.3546969,2834.296121
15,8,9028.812266,1255.744505,5718.847786
15,9,7807.855312,1085.931473,4945.493909
15,10,5707.95618,793.8734796,3615.418241
15,11,4997.26152,695.0287049,3165.264393
15,12,5078.624473,706.3448203,3216.799671
15,13,5449.782256,757.9661557,3451.890932
15,14,5644.506858,785.0488263,3575.229454
15,15,6004.192983,835.0746617,3803.05457
15,16,7057.918016,981.6287578,4470.483784
15,17,9256.623782,1287.428968,5863.143552
15,18,8822.985603,1227.117739,5588.477221
15,19,6190.2345,860.9496723,3920.893228
15,20,3575.725608,497.3187672,2264.863847
15,21,2386.759523,331.9550865,1511.772979
15,22,1792.949079,249.3667925,1135.653569
15,23,1347.664376,187.435743,853.6103319
15,24,866.1454983,120.4651751,548.616376
16,1,420.0923014,26.53457484,102.4983739
16,2,216.4105912,13.66928889,52.80204762
16,3,205.5253385,12.9817363,50.14615343
16,4,246.5558766,15.57337599,60.15719962
16,5,397.9687608,25.13717064,97.10044845
16,6,1175.847516,74.27085385,286.8951847
16,7,3994.382259,252.2998747,974.5898344
16,8,8059.589812,509.0733354,1966.460341
16,9,6969.69981,440.2318742,1700.537941
16,10,5095.220071,321.8328397,1243.183392
16,11,4460.816866,281.7616,1088.395273
16,12,4533.445691,286.3491037,1106.115989
16,13,4864.76053,307.2761675,1186.953539
16,14,5038.581889,318.2553638,1229.364235
16,15,5359.656528,338.5356189,1307.703276
16,16,6300.266576,397.9480091,1537.202841
16,17,8262.946281,521.9180779,2016.077312
16,18,7875.858174,497.4681694,1921.631635
16,19,5525.726911,349.0252351,1348.22281
16,20,3191.8796,201.6108552,778.7871087
16,21,2130.546319,134.5731416,519.8322667
16,22,1600.480075,101.0922081,390.5013367
16,23,1202.995672,75.9856312,293.5190666
16,24,773.1667498,48.83605559,188.6450534
17,1,3136.696696,281.1338707,1200.057219
17,2,1615.869618,144.8261417,618.209597
17,3,1534.59287,137.5415207,587.1142257
17,4,1840.954954,164.9999481,704.3241657
17,5,2971.507198,266.3283706,1136.857978
17,6,8779.682483,786.8998372,3358.986337
17,7,29824.7923,2673.11765,11410.55728
17,8,60178.41473,5393.632953,23023.43772
17,9,52040.54988,4664.257542,19910.00203
17,10,38044.40098,3409.819546,14555.26704
17,11,33307.51237,2985.264686,12742.9983
17,12,33849.8089,3033.869296,12950.47353
17,13,36323.63229,3255.591577,13896.9245
17,14,37621.50155,3371.916183,14393.47151
17,15,40018.86459,3586.785524,15310.66979
17,16,47042.1031,4216.25991,17997.66471
17,17,61696.81333,5529.723024,23604.35624
17,18,58806.54854,5270.676197,22498.5805
17,19,41258.85976,3697.923027,15785.07497
17,20,23832.7581,2136.067392,9118.087013
17,21,15908.11728,1425.80269,6086.227913
17,22,11950.27985,1071.072136,4572.013489
17,23,8982.389196,805.0679065,3436.539151
17,24,5772.992225,517.4181015,2208.667802
18,1,2030.943083,266.3575571,1242.884761
18,2,1046.240533,137.2141223,640.2722093
18,3,993.6156012,130.3123788,608.067109
18,4,1191.978407,156.3275993,729.4600275
18,5,1923.986465,252.3302297,1177.430071
18,6,5684.653995,745.5406131,3478.86156
18,7,19310.90618,2532.619372,11817.77629
18,8,38964.21839,5110.14519,23845.09624
18,9,33695.1274,4419.105537,20620.54851
18,10,24632.92453,3230.600433,15074.7142
18,11,21565.89189,2828.360051,13197.76936
18,12,21917.01713,2874.410018,13412.64895
18,13,23518.76413,3084.47864,14392.87678
18,14,24359.10632,3194.68926,14907.14452
18,15,25911.3469,3398.265131,15857.07569
18,16,30458.74152,3994.654529,18639.96386
18,17,39947.34856,5239.082408,24446.74653
18,18,38075.96479,4993.651005,23301.50796
18,19,26714.21688,3503.56128,16348.4114
18,20,15431.19398,2023.796318,9443.492538
18,21,10300.16093,1350.862919,6303.432705
18,22,7737.547027,1014.776899,4735.179124
18,23,5815.902196,762.7537741,3559.182072
18,24,3737.887262,490.2227582,2287.490553
19,1,2030.943083,266.3575571,1242.884761
19,2,1046.240533,137.2141223,640.2722093
19,3,993.6156012,130.3123788,608.067109
19,4,1191.978407,156.3275993,729.4600275
19,5,1923.986465,252.3302297,1177.430071
19,6,5684.653995,745.5406131,3478.86156
19,7,19310.90618,2532.619372,11817.77629
19,8,38964.21839,5110.14519,23845.09624
19,9,33695.1274,4419.105537,20620.54851
19,10,24632.92453,3230.600433,15074.7142
19,11,21565.89189,2828.360051,13197.76936
19,12,21917.01713,2874.410018,13412.64895
19,13,23518.76413,3084.47864,14392.87678
19,14,24359.10632,3194.68926,14907.14452
19,15,25911.3469,3398.265131,15857.07569
19,16,30458.74152,3994.654529,18639.96386
19,17,39947.34856,5239.082408,24446.74653
19,18,38075.96479,4993.651005,23301.50796
19,19,26714.21688,3503.56128,16348.4114
19,20,15431.19398,2023.796318,9443.492538
19,21,10300.16093,1350.862919,6303.432705
19,22,7737.547027,1014.776899,4735.179124
19,23,5815.902196,762.7537741,3559.182072
19,24,3737.887262,490.2227582,2287.490553
20,1,4584.47969,1424.65572,5089.928512
20,2,2361.695172,733.9115369,2622.077184
20,3,2242.904088,696.9964651,2490.189126
20,4,2690.671562,836.1430062,2987.323933
20,5,4343.044838,1349.62833,4821.874945
