unique_identifier,l0,l1,l2,l3,l4,level,segment,fte,contractor,fte_cost_avg,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,tenure_0-4,tenure_5-9,tenure_10-14,tenure_15-19,tenure_20-24,tenure_25+,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60+,degree_yes,degree_no,,driver_group,driver,year,min,mid,max
210,Consumer,Customer Care,Customer Care Centers,Call Center Technologies,Technology Systems Support,4,Support,7,3,18745.88571,0.632,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,8,10,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,2,1,3,1,0,0,0,0,2,3,1,1,0,0,0,4,6,,stcsub,,,,,
211,Consumer,Customer Care,Customer Care Centers,Call Center Technologies,User Access,4,Core,22,0,15631.60318,0.388,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,17,21,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,9,9,3,0,0,0,7,7,4,3,1,0,0,9,13,,stcsub,,,,,
212,Consumer,Customer Care,Customer Care Centers,E-Care,,3,Management,1,0,34884.58,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,headcount,,,,,
213,Consumer,Customer Care,Customer Care Centers,E-Care,Social Media,4,Core,57,154,13637.06386,0.166,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,138,199,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,23,23,9,1,0,1,12,20,14,7,3,0,0,38,173,,entrev,,,,,
214,Consumer,Customer Care,Customer Care Centers,E-Care,STC Channels,4,Core,68,8,14698.64721,0.17,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,58,76,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,31,31,3,2,0,0,18,26,17,5,1,1,0,29,47,,headcount,,,,,
215,Consumer,Customer Care,Customer Care Centers,Employee Management,,3,Management,1,0,35996.69833,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,1,2,1,1,0,0,0,2,0,3,1,0,0,3,3,,whorev,,,,,
216,Consumer,Customer Care,Customer Care Centers,Employee Management,Employee Support,4,Core,68,3,17115.75258,0.3298,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,54,67,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1,0,28,27,5,1,0,0,10,34,12,5,1,0,0,41,24,,conrev,,,,,
217,Consumer,Customer Care,Customer Care Centers,Employee Management,Workforce Management,4,Core,13,0,20196.37077,0.576,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,10,13,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,3,4,4,2,0,0,1,2,6,2,1,1,0,6,7,,conrev,,,,,
218,Consumer,Customer Care,Customer Care Centers,Fixed Services,,3,Management,2,0,43567.92,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2,2,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,,entrev,,,,,
219,Consumer,Customer Care,Customer Care Centers,Fixed Services,Fixed Financial & General Complaints,4,Core,85,0,17063.64449,0.186,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,64,85,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,24,37,18,10,0,1,7,33,20,21,5,2,0,35,54,,headcount,,,,,
220,Consumer,Customer Care,Customer Care Centers,Fixed Services,Fixed Service Closure Assurance,4,Core,51,0,15050.77941,0.21,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,39,51,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,26,24,1,0,0,0,11,26,8,4,2,0,0,26,25,,whorev,,,,,
221,Consumer,Customer Care,Customer Care Centers,Fixed Services,Fixed Technical Complaints,4,Core,113,0,14335.26584,0.186,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,85,113,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,5,57,36,10,5,0,2,35,40,24,7,4,1,0,48,65,,headcount,,,,,
222,Consumer,Customer Care,Customer Care Centers,Mobile Services,,3,Management,3,0,43876.22667,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,,headcount,,,,,
223,Consumer,Customer Care,Customer Care Centers,Mobile Services,Mobile Financial & General Complaints,4,Core,160,0,14065.06537,0.2,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,106,151,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,5,50,95,11,3,0,5,23,77,43,14,2,0,0,56,108,,headcount,,,,,
224,Consumer,Customer Care,Customer Care Centers,Mobile Services,Mobile Service Closure Assurance,4,Core,60,0,12800.80883,0.16,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,30,57,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,33,27,0,0,0,2,10,32,12,3,1,0,0,24,36,,entrev,,,,,
225,Consumer,Customer Care,Customer Care Centers,Mobile Services,Mobile Technical Complaints,4,Core,108,0,13877.03648,0.14,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,82,102,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,3,27,70,5,3,0,3,13,52,27,9,4,0,0,40,68,,entrev,,,,,
226,Consumer,Customer Care,Customer Care Centers,Planning & Outsource Management,,3,Management,4,1,32467.3075,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,5,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1,0,2,1,0,0,0,0,1,1,1,1,0,0,0,3,1,,conrev,,,,,
227,Consumer,Customer Care,Customer Care Centers,Planning & Outsource Management,Operational Reporting,4,Core,21,2,16705.90857,0.194,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,18,22,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,6,10,4,1,0,1,1,11,6,1,0,1,0,9,14,,entrev,,,,,
228,Consumer,Customer Care,Customer Care Centers,Planning & Outsource Management,Outsource Operations,4,Support,3,1,26264.95,0.188,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,2,2,,whorev,,,,,
229,Consumer,Customer Care,Customer Care Centers,Planning & Outsource Management,Planning,4,Core,13,1,17559.16462,0.19,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,11,14,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,9,2,2,0,0,0,1,7,2,3,0,0,0,7,7,,headcount,,,,,
230,Consumer,Customer Care,Customer Care Centers,Sales Center,,3,Management,1,0,53167.79,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,entrev,,,,,
231,Consumer,Customer Care,Customer Care Centers,Sales Center,Retention Support,4,Core,194,0,27175.6284,0.252,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,146,183,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,5,91,81,10,7,0,2,41,83,46,19,3,0,0,85,109,,entrev,,,,,
232,Consumer,Customer Care,Customer Care Centers,Sales Center,Sales,4,Core,69,0,14601.89377,0.316,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,52,65,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0,3,28,31,4,3,0,1,17,30,13,7,0,1,0,29,40,,stcsub,,,,,
233,Consumer,Customer Care,Customer Experience,,,2,Management,3,0,33500.715,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,3,0,,entrev,,,,,
234,Consumer,Customer Care,Customer Experience,Complaints Management,,3,Management,1,0,52623.69,,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,entrev,,,,,
235,Consumer,Customer Care,Customer Experience,Complaints Management,Customer Financial Complaints,4,Support,6,0,24995.27,0.27,0.97,0.94,0.91,0.92,0.85,0.79,0.76,0.62,0.53,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,5,12,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,1,,,,,,,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,1,0,2,1,1,0,0,0,1,2,2,0,0,0,0,5,0,,whorev,,,,,
