Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 18:43:00;;;;;;100651;25,455;29,6125;370;1,57964;1,75327;1,40612;1,67253;0,329144
2017-03-27 18:44:00;;;;;;100654;25,4688;29,5344;388,844;1,58087;1,75507;1,41219;1,67528;0,32935
2017-03-27 18:45:00;;;;;;100652;25,43;29,5106;383,375;1,57936;1,75044;1,39535;1,66706;0,329494
2017-03-27 18:46:00;;;;;;100651;25,3837;29,6912;378;1,57989;1,75376;1,40464;1,67089;0,329272
2017-03-27 18:47:00;;;;;;100650;25,3806;29,525;374,438;1,58304;1,75629;1,41736;1,67745;0,329387
2017-03-27 18:48:00;;;;;;100648;25,3744;29,4562;382,594;1,59008;1,7427;1,38947;1,66359;0,328431
2017-03-27 18:49:00;;;;;;100647;25,3594;29,3162;378,312;1,60451;1,72633;1,38465;1,6612;0,327559
2017-03-27 18:50:00;;;;;;100647;25,3137;29,395;373,625;1,58444;1,74848;1,39241;1,66501;0,3263
2017-03-27 18:51:00;;;;;;100645;25,2978;29,4741;381,531;1,59025;1,74633;1,40178;1,66985;0,326736
2017-03-27 18:52:00;;;;;;100646;25,2822;29,4859;384,25;1,62907;1,70873;1,36829;1,65386;0,326469
2017-03-27 18:53:00;;;;;;100645;25,2472;29,7312;372,688;1,58043;1,7536;1,40342;1,67031;0,325669
2017-03-27 18:54:00;;;;;;100644;25,2153;29,4972;370,594;1,58841;1,75979;1,44255;1,68846;0,325309
2017-03-27 18:55:00;;;;;;100642;25,155;29,4425;368,188;1,58999;1,74786;1,40256;1,66844;0,324475
2017-03-27 18:56:00;;;;;;100643;25,1131;29,5175;382,156;1,58742;1,75925;1,43293;1,68463;0,323988
2017-03-27 18:57:00;;;;;;100644;25,0881;29,55;376,848;1,58717;1,75942;1,43457;1,68561;0,323212
2017-03-27 18:58:00;;;;;;100644;25,0787;29,5325;377,5;1,59074;1,76201;1,44851;1,69219;0,323025
2017-03-27 18:59:00;;;;;;100640;25,0572;29,5522;372,094;1,58284;1,75499;1,41289;1,6749;0,322813
2017-03-27 19:00:00;;;;;;100643;25,0462;29,5187;379,062;1,5812;1,75483;1,41109;1,67282;0,322544
2017-03-27 19:01:00;;;;;;100642;25,0166;29,5263;366,094;1,58221;1,75539;1,41412;1,67485;0,322309
2017-03-27 19:02:00;;;;;;100641;25,0044;29,5703;374,281;1,58422;1,75735;1,42251;1,67914;0,322578
2017-03-27 19:03:00;;;;;;100638;24,9775;29,645;382,469;1,58653;1,75889;1,43305;1,68468;0,322872
2017-03-27 19:04:00;;;;;;100641;24,9622;29,71;373,094;1,58387;1,75669;1,42278;1,68008;0,322694
2017-03-27 19:05:00;;;;;;100636;24,945;29,6975;378,125;1,58;1,75413;1,40532;1,6718;0,323294
2017-03-27 19:06:00;;;;;;100634;24,9206;29,675;364;1,57984;1,75363;1,40397;1,67017;0,323625
2017-03-27 19:07:00;;;;;;100631;24,8997;29,6812;380,875;1,58268;1,75341;1,41113;1,6729;0,323634
2017-03-27 19:08:00;;;;;;100633;24,8716;29,65;381,562;1,58262;1,75572;1,41522;1,67558;0,323638
2017-03-27 19:09:00;;;;;;100632;24,8588;29,675;379,312;1,58127;1,75094;1,39619;1,66682;0,323944
2017-03-27 19:10:00;;;;;;100633;24,8103;29,7753;369,406;1,58173;1,75408;1,40826;1,67233;0,324531
